"d06219b","Mickael Moreau","2018-11-27 01:14:57 +0100","Improving design and ergonomie","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"416143d","Mickael Moreau","2018-11-26 08:02:12 +0100","Adding Monwoo timings pivot and dependencies","MiguelMonwoo","ProjetMoonManager","MIT-developpment","RemoteFullTutorialAndKnowledgeTransfert"
"6363cd9","Mickael Moreau","2018-11-26 06:35:14 +0100","Improve timings extraction from client folder","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"49aed40","Mickael Moreau","2018-11-26 06:28:19 +0100","Improve timings extraction from client folder","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"7c90b0d","Mickael Moreau","2018-11-26 06:04:58 +0100","Improving storage of Medias files","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"e1d4aa3","Mickael Moreau","2018-11-26 05:19:09 +0100","Improving storage of Medias files","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"b328875","Mickael Moreau","2018-11-26 04:26:30 +0100","adding Demo dataset + improve timings extraction from client folder","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"b16307d","Mickael Moreau","2018-11-26 03:02:25 +0100","In progress","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"41fca54","Mickael Moreau","2018-11-26 03:01:41 +0100","Wording","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"0aa0a98","Mickael Moreau","2018-11-26 03:00:36 +0100","Wording","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"34b877f","Mickael Moreau","2018-11-26 02:59:18 +0100","Add web notification system","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"48394ad","Mickael Moreau","2018-11-26 01:57:46 +0100","Save/load parameters seem ok for V1","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"d8c01ea","Mickael Moreau","2018-11-26 01:49:43 +0100","Save/load parameters seem ok for V1","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"0f36d63","Mickael Moreau","2018-11-26 01:26:16 +0100","Save/load parameters seem ok for V1","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
"9004c96","Mickael Moreau","2018-11-26 00:28:39 +0100","linking parameters","MiguelMonwoo","ProjetMoonManager","MIT-developpment"
